Frame,LShoulderPitch,RShoulderPitch,LShoulderRoll,RShoulderRoll,LElbowRoll,RElbowRoll,LHipPitch,RHipPitch,LHipRoll,RHipRoll,LKneePitch,RKneePitch
1,2.00000000,-2.00000000,0.00000000,-0.21060453,-0.05000000,0.05000000,-0.23110004,0.00256947,-0.19536740,0.30100286,2.10000000,2.10000000
2,2.00000000,-2.00000000,0.00000000,-0.19722574,-0.05000000,0.05000000,-0.22863401,0.01122093,-0.19559264,0.29905228,2.10000000,2.10000000
3,2.00000000,-2.00000000,0.00000000,-0.18500567,-0.05000000,0.05000000,-0.22154465,0.02165382,-0.19669995,0.29851804,2.10000000,2.10000000
4,2.00000000,-2.00000000,0.00000000,-0.17603422,-0.05000000,0.05000000,-0.21454578,0.02869747,-0.19875285,0.29887710,2.10000000,2.10000000
5,2.00000000,-2.00000000,0.00000000,-0.16839090,-0.05000000,0.05000000,-0.20972771,0.03232323,-0.20275895,0.30050270,2.10000000,2.10000000
6,2.00000000,-2.00000000,0.00000000,-0.16254403,-0.05000000,0.05000000,-0.20651652,0.03451021,-0.20578814,0.30317031,2.10000000,2.10000000
7,2.00000000,-2.00000000,0.00000000,-0.15624503,-0.05000000,0.05000000,-0.20456759,0.03573358,-0.20809254,0.30453645,2.10000000,2.10000000
8,2.00000000,-2.00000000,0.00000000,-0.15226479,-0.05000000,0.05000000,-0.20258749,0.03652140,-0.21095660,0.30561809,2.10000000,2.10000000
9,2.00000000,-2.00000000,0.00000000,-0.14824613,-0.05000000,0.05000000,-0.19989274,0.03764585,-0.21516133,0.30704016,2.10000000,2.10000000
10,2.00000000,-2.00000000,0.00000000,-0.14649117,-0.05000000,0.05000000,-0.19800703,0.03554659,-0.21773819,0.30905950,2.10000000,2.10000000
11,2.00000000,-2.00000000,0.00000000,-0.14364509,-0.05000000,0.05000000,-0.19610653,0.03474436,-0.22020560,0.31095162,2.10000000,2.10000000
12,2.00000000,-2.00000000,0.00000000,-0.12267495,-0.05000000,0.05000000,-0.18202240,0.03775370,-0.22754233,0.32399870,2.10000000,2.10000000
13,2.00000000,-2.00000000,0.00000000,-0.07973872,-0.05000000,0.05000000,-0.14817447,0.06630321,-0.24341751,0.34142407,2.10000000,2.10000000
14,2.00000000,-2.00000000,0.00000000,-0.05183017,-0.05000000,0.05000000,-0.12899445,0.08231597,-0.26744185,0.37242475,2.10000000,2.10000000
15,2.00000000,-1.92825752,0.00000000,-0.03368961,-0.05000000,0.05000000,-0.10927774,0.09619145,-0.29285846,0.40591490,2.10000000,2.10000000
16,2.00000000,-1.79819696,0.00000000,-0.02189825,-0.05000000,0.05000000,-0.09750579,0.08544519,-0.32383655,0.43884468,2.10000000,2.10000000
17,2.00000000,-1.68091187,0.00000000,-0.01423386,-0.05000000,0.05000000,-0.07972475,0.07984238,-0.35242325,0.46024904,2.10000000,2.10000000
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,1.40347571,-1.79259271,0.00000000,-0.00925201,-0.05000000,0.05000000,-0.12502036,0.06612605,-0.20114714,0.30076836,2.10000000,2.10000000
53,0.91957497,-1.86518526,0.00000000,-0.00601381,-0.05000000,0.05000000,-0.14972354,0.06039289,-0.10454592,0.20239732,2.10000000,2.10000000
54,0.49587031,-1.91237042,0.00000000,-0.00390897,-0.05000000,0.05000000,-0.16256689,0.05990802,-0.04314933,0.14098142,2.10000000,2.10000000
55,0.15559329,-1.94304077,0.00000000,-0.00254083,-0.05000000,0.05000000,-0.15419108,0.07395652,-0.01016635,0.10604476,2.10000000,2.10000000
56,-0.09360760,-1.96297650,0.00000000,-0.00165154,-0.05000000,0.05000000,-0.14348105,0.08796811,0.00386342,0.08926341,2.10000000,2.10000000
57,-0.33311744,-1.97593473,0.00000000,-0.00107350,-0.05000000,0.05000000,-0.13240142,0.10779537,0.00638945,0.08569177,2.10000000,2.10000000
58,-0.65761246,-1.98435757,0.00000000,-0.00069778,-0.05000000,0.05000000,-0.13048512,0.10889682,0.00166987,0.09315971,2.10000000,2.10000000
59,-0.96746576,-1.98983242,0.00000000,-0.00222740,-0.05000000,0.05000000,-0.12615429,0.10391633,-0.01234845,0.11327272,2.10000000,2.10000000
60,-1.12903678,-1.99339107,0.00000000,-0.00144781,-0.05000000,0.05000000,-0.12411002,0.09881869,-0.02729164,0.13364197,2.10000000,2.10000000
61,-1.06258216,-1.99570420,0.00000000,-0.00094107,-0.05000000,0.05000000,-0.10869525,0.10419178,-0.04049913,0.15723204,2.10000000,2.10000000
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
