Frame,Nose_X,Nose_Y,L_Eye_X,L_Eye_Y,R_Eye_X,R_Eye_Y,L_Ear_X,L_Ear_Y,R_Ear_X,R_Ear_Y,L_Shoulder_X,L_Shoulder_Y,R_Shoulder_X,R_Shoulder_Y,L_Elbow_X,L_Elbow_Y,R_Elbow_X,R_Elbow_Y,L_Wrist_X,L_Wrist_Y,R_Wrist_X,R_Wrist_Y,L_Hip_X,L_Hip_Y,R_Hip_X,R_Hip_Y,L_Knee_X,L_Knee_Y,R_Knee_X,R_Knee_Y,L_Ankle_X,L_Ankle_Y,R_Ankle_X,R_Ankle_Y
1,185,92,189,89,182,89,195,92,178,92,204,116,171,117,209,146,164,146,205,172,167,172,198,171,177,171,198,213,180,211,195,240,183,240
2,185,92,188,89,181,89,195,92,178,92,204,116,171,116,209,146,164,146,204,173,167,172,198,170,177,170,198,212,179,211,196,240,182,240
3,185,92,189,88,182,88,195,92,178,92,204,116,171,117,209,145,165,146,205,172,167,173,198,170,177,170,198,212,179,210,196,240,182,240
4,185,92,189,89,181,89,195,92,178,92,204,116,171,116,210,146,164,145,205,172,167,172,198,171,177,171,198,213,180,212,196,240,183,240
5,184,92,188,89,181,89,195,92,178,92,204,116,171,117,209,146,165,146,204,173,167,172,198,171,177,171,198,213,180,212,196,240,182,240
6,184,92,188,89,181,89,195,92,178,92,204,116,171,117,210,145,165,146,205,172,167,172,198,170,177,170,198,212,180,211,196,240,183,240
7,184,92,188,88,181,88,195,92,178,92,204,116,171,116,210,145,164,145,205,172,167,171,198,170,177,170,198,212,179,211,196,240,182,240
8,184,92,188,89,181,89,195,92,178,92,204,116,171,116,209,145,165,145,205,172,167,171,198,171,177,171,197,213,179,211,196,240,182,240
9,185,92,189,89,182,89,195,92,178,92,204,116,171,116,209,145,165,146,205,172,167,172,198,170,177,170,198,212,180,211,195,240,182,240
10,184,92,188,88,181,88,195,92,178,92,204,116,171,116,209,145,165,145,205,172,167,171,198,170,177,170,198,212,180,211,196,240,183,240
11,185,92,189,89,182,89,195,92,178,92,204,116,171,116,209,145,164,145,205,172,166,171,198,171,177,171,198,212,180,211,196,240,183,240
12,185,92,189,89,182,89,196,92,178,92,204,116,170,115,209,146,159,141,205,173,155,163,197,170,176,169,198,212,180,211,196,240,182,240
13,186,92,190,89,183,89,196,92,179,92,204,116,171,114,210,147,154,135,205,172,138,143,198,171,177,169,197,213,178,211,197,240,181,240
14,186,93,189,89,182,89,195,92,178,92,204,116,170,113,210,145,150,121,206,172,133,108,198,171,178,170,198,213,179,213,196,240,182,240
15,184,93,188,89,181,90,194,92,177,94,203,118,170,112,208,145,151,105,205,175,144,81,198,171,177,170,195,213,178,214,195,240,181,240
