Frame,Nase_X,Nase_Y,Nase_Z,Nase_visibility,l_Auge_X,l_Auge_Y,l_Auge_Z,l_Auge_visibility,r_Auge_X,r_Auge_Y,r_Auge_Z,r_Auge_visibility,l_Ohr_X,l_Ohr_Y,l_Ohr_Z,l_Ohr_visibility,r_Ohr_X,r_Ohr_Y,r_Ohr_Z,r_Ohr_visibility,LShoulderRoll_X,LShoulderRoll_Y,LShoulderRoll_Z,LShoulderRoll_visibility,RShoulderRoll_X,RShoulderRoll_Y,RShoulderRoll_Z,RShoulderRoll_visibility,LElbowRoll_X,LElbowRoll_Y,LElbowRoll_Z,LElbowRoll_visibility,RElbowRoll_X,RElbowRoll_Y,RElbowRoll_Z,RElbowRoll_visibility,LWrist_X,LWrist_Y,LWrist_Z,LWrist_visibility,RWrist_X,RWrist_Y,RWrist_Z,RWrist_visibility,LHipRoll_X,LHipRoll_Y,LHipRoll_Z,LHipRoll_visibility,RHipRoll_X,RHipRoll_Y,RHipRoll_Z,RHipRoll_visibility,LKnee_X,LKnee_Y,LKnee_Z,LKnee_visibility,RKnee_X,RKnee_Y,RKnee_Z,RKnee_visibility,LAnkle_X,LAnkle_Y,LAnkle_Z,LAnkle_visibility,RAnkle_X,RAnkle_Y,RAnkle_Z,RAnkle_visibility
1,-0.03183560073375702,-0.5866392254829407,-0.3589264452457428,0.9999890327453613,-0.006255323067307472,-0.6060822010040283,-0.3397195041179657,0.9999648332595825,-0.033223845064640045,-0.6154122352600098,-0.37198036909103394,0.999980092048645,0.07141201198101044,-0.6070440411567688,-0.23543214797973633,0.9999599456787109,-0.08071951568126678,-0.5715636610984802,-0.22080720961093903,0.9999121427536011,0.16120128333568573,-0.46453148126602173,-0.07657721638679504,0.9999936819076538,-0.14277470111846924,-0.5249260663986206,-0.02599351666867733,0.999984622001648,0.21484991908073425,-0.26578769087791443,-0.02841796912252903,0.9875999689102173,-0.17249028384685516,-0.23548337817192078,-0.023781832307577133,0.9713090062141418,0.24480721354484558,-0.037089575082063675,-0.016586419194936752,0.9947072267532349,-0.2393745481967926,-0.023662179708480835,-0.09641031920909882,0.9894363880157471,0.09779736399650574,0.002067171037197113,0.0327148400247097,0.9999716281890869,-0.09481941908597946,-0.0048750401474535465,-0.03063989244401455,0.9999653100967407,0.14782315492630005,0.4069724678993225,-0.022059235721826553,0.9342989921569824,-0.0686514601111412,0.3252488374710083,-0.03199199587106705,0.9318702816963196,0.16908003389835358,0.7514914274215698,0.12438079714775085,0.9469717144966125,-0.10912365466356277,0.7119020223617554,0.15384048223495483,0.9426996111869812
2,-0.03178079053759575,-0.5864090323448181,-0.35186707973480225,0.9999884366989136,-0.006257518660277128,-0.6059631109237671,-0.33397623896598816,0.9999631643295288,-0.03310040384531021,-0.6152210235595703,-0.3658691942691803,0.9999788999557495,0.07128271460533142,-0.6070725917816162,-0.2329176664352417,0.9999589920043945,-0.08026304841041565,-0.5716177225112915,-0.2168397754430771,0.9999082684516907,0.16126815974712372,-0.4644301235675812,-0.07672027498483658,0.9999937415122986,-0.1401364505290985,-0.5265327095985413,-0.019861888140439987,0.9999843239784241,0.2147706300020218,-0.26580435037612915,-0.028772063553333282,0.9881066083908081,-0.17178738117218018,-0.23768655955791473,-0.014983583241701126,0.9709218740463257,0.24481332302093506,-0.037122804671525955,-0.015055798925459385,0.9948817491531372,-0.23928356170654297,-0.023788873106241226,-0.08443214744329453,0.9891886115074158,0.09750159829854965,0.0022324067540466785,0.030550038442015648,0.9999712705612183,-0.09449166059494019,-0.005007853731513023,-0.02855709195137024,0.9999647736549377,0.14469106495380402,0.4069444239139557,-0.022321349009871483,0.9358575940132141,-0.06722782552242279,0.3254687190055847,-0.02932768687605858,0.9324185252189636,0.16906121373176575,0.751349925994873,0.12280259281396866,0.9476152658462524,-0.10811025649309158,0.7119042277336121,0.1530725210905075,0.9430549144744873
3,-0.030257053673267365,-0.5863838791847229,-0.3465985059738159,0.9999882578849792,-0.005364489275962114,-0.6059678196907043,-0.328789621591568,0.9999625086784363,-0.03188003599643707,-0.6151810884475708,-0.3607812821865082,0.9999784231185913,0.07149523496627808,-0.6073303818702698,-0.22846096754074097,0.9999585747718811,-0.07958602160215378,-0.5716217160224915,-0.21268782019615173,0.9999066591262817,0.16212984919548035,-0.4642932713031769,-0.07575807720422745,0.9999938011169434,-0.13746291399002075,-0.5271826386451721,-0.015698103234171867,0.9999841451644897,0.2149922102689743,-0.2652885913848877,-0.028529362753033638,0.9884799718856812,-0.1713731288909912,-0.23843879997730255,-0.01027845311909914,0.970605194568634,0.24560819566249847,-0.03664088621735573,-0.0137869231402874,0.9950146675109863,-0.23909606039524078,-0.024303274229168892,-0.07793858647346497,0.9890556931495667,0.09728015214204788,0.002374054631218314,0.0298050194978714,0.9999706745147705,-0.09423674643039703,-0.005123520735651255,-0.02787606418132782,0.9999639987945557,0.14364935457706451,0.40693843364715576,-0.022800616919994354,0.9356446862220764,-0.06238580867648125,0.3256880044937134,-0.028731627389788628,0.931157112121582,0.16876840591430664,0.7513943314552307,0.11905834078788757,0.9467058181762695,-0.10090792179107666,0.7128600478172302,0.14969080686569214,0.94190913438797
4,-0.0302862711250782,-0.5875551104545593,-0.3450273871421814,0.9999880194664001,-0.0054051317274570465,-0.6071920990943909,-0.3275274336338043,0.9999621510505676,-0.031857725232839584,-0.6161599159240723,-0.3590981364250183,0.9999780654907227,0.07151246070861816,-0.6080073118209839,-0.22833873331546783,0.9999587535858154,-0.07867870479822159,-0.5720309019088745,-0.21113711595535278,0.9999058246612549,0.16268934309482574,-0.46418195962905884,-0.07644984126091003,0.9999938607215881,-0.1352757215499878,-0.5274102687835693,-0.0135142607614398,0.9999839663505554,0.21537496149539948,-0.26527029275894165,-0.030047042295336723,0.9889965057373047,-0.17135196924209595,-0.23870104551315308,-0.005723509006202221,0.9704480767250061,0.2459971159696579,-0.03696991503238678,-0.014925719238817692,0.9952077865600586,-0.23908954858779907,-0.025357022881507874,-0.07474438101053238,0.9888895750045776,0.09706219285726547,0.0025212527252733707,0.028392786160111427,0.9999707341194153,-0.09399855136871338,-0.005250310990959406,-0.026492347940802574,0.9999639987945557,0.14150378108024597,0.40697935223579407,-0.023539600893855095,0.9379914999008179,-0.05971691757440567,0.32589343190193176,-0.027927719056606293,0.9331754446029663,0.1670590490102768,0.751812219619751,0.11913197487592697,0.9481849074363708,-0.09568130970001221,0.7133605480194092,0.14951829612255096,0.9435206651687622
5,-0.029434898868203163,-0.5877427458763123,-0.33979305624961853,0.9999876618385315,-0.0049245646223425865,-0.6074178218841553,-0.3222222626209259,0.9999609589576721,-0.03105628304183483,-0.6162796020507812,-0.35394933819770813,0.9999773502349854,0.07167134433984756,-0.6083680987358093,-0.2236996740102768,0.9999576807022095,-0.07792593538761139,-0.5721727013587952,-0.2069205492734909,0.9999037384986877,0.16310420632362366,-0.46415039896965027,-0.07223735749721527,0.9999938607215881,-0.1333889365196228,-0.5278949737548828,-0.012237368151545525,0.9999837875366211,0.21562382578849792,-0.2651638388633728,-0.026276161894202232,0.9890934228897095,-0.17065511643886566,-0.23902389407157898,-0.005726412869989872,0.969910740852356,0.24634422361850739,-0.036806222051382065,-0.011723693460226059,0.9952206611633301,-0.2387392669916153,-0.025450449436903,-0.07474348694086075,0.9885977506637573,0.09695848077535629,0.0026230786461383104,0.028464090079069138,0.9999698996543884,-0.09388943761587143,-0.005350248888134956,-0.026570262387394905,0.9999630451202393,0.14155562222003937,0.4072413742542267,-0.023449109867215157,0.937103271484375,-0.05909804627299309,0.3263545334339142,-0.028867041692137718,0.9321624040603638,0.1677529513835907,0.7522412538528442,0.11710934340953827,0.9468882083892822,-0.09616851806640625,0.7134415507316589,0.14647702872753143,0.9416242837905884
6,-0.029432017356157303,-0.5886014699935913,-0.33670955896377563,0.9999867081642151,-0.004961769562214613,-0.6083991527557373,-0.31901270151138306,0.9999580383300781,-0.03106263279914856,-0.61692875623703,-0.3507343530654907,0.9999755024909973,0.07161780446767807,-0.6096081137657166,-0.22018283605575562,0.9999550580978394,-0.07793573290109634,-0.5725639462471008,-0.2034188210964203,0.9998973608016968,0.16350418329238892,-0.4642624258995056,-0.06879056990146637,0.9999937415122986,-0.13332432508468628,-0.5282454490661621,-0.010228896513581276,0.9999831914901733,0.21562901139259338,-0.2651638090610504,-0.02282339707016945,0.9892313480377197,-0.1707438826560974,-0.239882692694664,-0.0037417083512991667,0.9696041941642761,0.24634955823421478,-0.03715202584862709,-0.009333766996860504,0.995296061038971,-0.23872056603431702,-0.026841336861252785,-0.07297810167074203,0.9882829189300537,0.09698517620563507,0.0026853575836867094,0.028485005721449852,0.9999694228172302,-0.09391053020954132,-0.005407955497503281,-0.0265891645103693,0.9999623894691467,0.14157435297966003,0.40743428468704224,-0.023350203409790993,0.9380751252174377,-0.05920242890715599,0.32690319418907166,-0.02928181178867817,0.9333812594413757,0.1690543293952942,0.7528349161148071,0.1171949952840805,0.9475736618041992,-0.09752418100833893,0.7134421467781067,0.14642111957073212,0.9422145485877991
7,-0.029368720948696136,-0.5880125761032104,-0.33791422843933105,0.9999866485595703,-0.0049434928223490715,-0.6078442931175232,-0.3203410506248474,0.999957799911499,-0.031002946197986603,-0.6163370609283447,-0.35236069560050964,0.9999753832817078,0.0715508759021759,-0.6093320846557617,-0.22109854221343994,0.9999549984931946,-0.0779493972659111,-0.5722994804382324,-0.20532789826393127,0.9998974204063416,0.16340583562850952,-0.46407634019851685,-0.06890194118022919,0.9999937415122986,-0.13328903913497925,-0.5281806588172913,-0.011410254053771496,0.9999830722808838,0.21547114849090576,-0.26503005623817444,-0.022130535915493965,0.9893996715545654,-0.1704261302947998,-0.23926004767417908,-0.004235822707414627,0.96973717212677,0.24631048738956451,-0.03715968877077103,-0.007388753350824118,0.995387613773346,-0.2387252002954483,-0.025925658643245697,-0.07367593795061111,0.9882749915122986,0.09695147722959518,0.0027335509657859802,0.028554165735840797,0.9999693036079407,-0.09386967867612839,-0.00544972438365221,-0.026659950613975525,0.9999622702598572,0.14135055243968964,0.4080093801021576,-0.02247725799679756,0.9396204352378845,-0.05945044755935669,0.32730406522750854,-0.03001996874809265,0.9351977109909058,0.16870646178722382,0.7530766725540161,0.11725448071956635,0.9488798379898071,-0.09764892607927322,0.714486300945282,0.1416832059621811,0.9438260793685913
8,-0.0293082594871521,-0.5884525775909424,-0.33856233954429626,0.9999862909317017,-0.004905594978481531,-0.6082528233528137,-0.32088953256607056,0.9999569058418274,-0.030935294926166534,-0.6166920065879822,-0.35291600227355957,0.9999749064445496,0.07155045866966248,-0.6094020009040833,-0.22133372724056244,0.9999544024467468,-0.07794533669948578,-0.5723975896835327,-0.20565462112426758,0.9998966455459595,0.16338247060775757,-0.4637669622898102,-0.06885554641485214,0.999993622303009,-0.13327401876449585,-0.5281860828399658,-0.011529176495969296,0.9999827146530151,0.21513351798057556,-0.2647857069969177,-0.020864155143499374,0.9895122051239014,-0.17043572664260864,-0.23934434354305267,-0.005412288475781679,0.9700127243995667,0.24630658328533173,-0.037230562418699265,-0.0050922781229019165,0.9954149127006531,-0.23870813846588135,-0.025933656841516495,-0.07609754055738449,0.9882388114929199,0.0969381108880043,0.0027762011159211397,0.028597064316272736,0.999968945980072,-0.09385700523853302,-0.005489418748766184,-0.026692045852541924,0.9999620318412781,0.14130552113056183,0.4082779884338379,-0.02269311249256134,0.9414812326431274,-0.05957547947764397,0.32770463824272156,-0.03208773583173752,0.9373193383216858,0.16917328536510468,0.753394603729248,0.11708332598209381,0.9501016736030579,-0.09722556173801422,0.7149930596351624,0.1403806507587433,0.9451717734336853
9,-0.02920036017894745,-0.5884912610054016,-0.3390238881111145,0.9999862909317017,-0.004875773098319769,-0.6083236336708069,-0.3212580680847168,0.9999570846557617,-0.03087899088859558,-0.6167281270027161,-0.3532865047454834,0.9999748468399048,0.07152622938156128,-0.6096168160438538,-0.2214645892381668,0.9999547600746155,-0.07794136554002762,-0.5724682211875916,-0.20582754909992218,0.9998961687088013,0.16337063908576965,-0.4638698101043701,-0.07028430700302124,0.9999937415122986,-0.1331733614206314,-0.528485894203186,-0.011515183374285698,0.9999827146530151,0.21511560678482056,-0.2648005187511444,-0.02353340946137905,0.9897614121437073,-0.1704714298248291,-0.23959888517856598,-0.004658820107579231,0.9694594144821167,0.24615679681301117,-0.03698232024908066,-0.007867866195738316,0.9954959750175476,-0.2388962209224701,-0.026074865832924843,-0.07398269325494766,0.9880265593528748,0.09683816134929657,0.0028192291501909494,0.028333518654108047,0.9999687075614929,-0.09374266117811203,-0.0055238911882042885,-0.02644917741417885,0.9999616146087646,0.14094726741313934,0.40826961398124695,-0.023762743920087814,0.9415677189826965,-0.05938993766903877,0.32769253849983215,-0.031676825135946274,0.9368196725845337,0.16873937845230103,0.7533612847328186,0.11589109897613525,0.9498623609542847,-0.09508300572633743,0.7149276733398438,0.14056022465229034,0.9446504712104797
10,-0.02916450798511505,-0.5876456499099731,-0.3394734859466553,0.999985933303833,-0.004892557859420776,-0.6076129674911499,-0.32200196385383606,0.9999558329582214,-0.030874047428369522,-0.6159102916717529,-0.3539126515388489,0.9999739527702332,0.07149358093738556,-0.6094500422477722,-0.22283677756786346,0.9999536275863647,-0.0779307633638382,-0.5720359086990356,-0.206664577126503,0.9998918175697327,0.1635005921125412,-0.4636247456073761,-0.07193217426538467,0.9999938011169434,-0.13299870491027832,-0.5285161137580872,-0.011638076975941658,0.9999825358390808,0.21544000506401062,-0.2641882300376892,-0.024444110691547394,0.9899308085441589,-0.17024442553520203,-0.23962025344371796,-0.004499387461692095,0.9684867262840271,0.24729770421981812,-0.03523661941289902,-0.007913196459412575,0.9955593943595886,-0.23889495432376862,-0.026249434798955917,-0.07217888534069061,0.9875988364219666,0.09682764112949371,0.0029005231335759163,0.028347687795758247,0.999967634677887,-0.09373046457767487,-0.00560190062969923,-0.026462215930223465,0.9999601244926453,0.14093239605426788,0.40733036398887634,-0.023859860375523567,0.9383328557014465,-0.062003351747989655,0.32759878039360046,-0.03147868439555168,0.9333536624908447,0.1672951877117157,0.7509933114051819,0.11593658477067947,0.9462924599647522,-0.10283830761909485,0.7143760323524475,0.14185397326946259,0.9407733678817749
