Frame,Nase_X,Nase_Y,Nase_Z,l_Auge_X,l_Auge_Y,l_Auge_Z,r_Auge_X,r_Auge_Y,r_Auge_Z,l_Ohr_X,l_Ohr_Y,l_Ohr_Z,r_Ohr_X,r_Ohr_Y,r_Ohr_Z,LShoulderRoll_X,LShoulderRoll_Y,LShoulderRoll_Z,RShoulderRoll_X,RShoulderRoll_Y,RShoulderRoll_Z,LElbowRoll_X,LElbowRoll_Y,LElbowRoll_Z,RElbowRoll_X,RElbowRoll_Y,RElbowRoll_Z,LWrist_X,LWrist_Y,LWrist_Z,RWrist_X,RWrist_Y,RWrist_Z,LHipRoll_X,LHipRoll_Y,LHipRoll_Z,RHipRoll_X,RHipRoll_Y,RHipRoll_Z,LKnee_X,LKnee_Y,LKnee_Z,RKnee_X,RKnee_Y,RKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,RAnkle_X,RAnkle_Y,RAnkle_Z
1,185,92,0.9862966537475586,189,89,0.9620345234870911,182,89,0.9546093940734863,195,92,0.8298742771148682,178,92,0.7481015920639038,204,116,0.9943315982818604,171,117,0.9927800297737122,209,146,0.9718356132507324,164,146,0.9634482264518738,205,172,0.9513192772865295,167,172,0.9431853890419006,198,171,0.9907427430152893,177,171,0.9900722503662109,198,213,0.9250938892364502,180,211,0.9228301048278809,195,240,0.5207879543304443,183,240,0.5210750699043274
2,185,92,0.9863002896308899,188,89,0.9639407992362976,181,89,0.9516642093658447,195,92,0.8461288809776306,178,92,0.7277378439903259,204,116,0.9949094653129578,171,116,0.9928937554359436,209,146,0.9752066731452942,164,146,0.9638539552688599,204,173,0.9557834267616272,167,172,0.9433760046958923,198,170,0.9923363327980042,177,170,0.9914199113845825,198,212,0.9388912916183472,179,211,0.9345451593399048,196,240,0.5716449022293091,182,240,0.5663764476776123
3,185,92,0.9862589836120605,189,88,0.9620286822319031,182,88,0.9533821940422058,195,92,0.8358823657035828,178,92,0.7429270148277283,204,116,0.9947372078895569,171,117,0.9934141635894775,209,145,0.973917543888092,165,146,0.967177152633667,205,172,0.9541014432907104,167,173,0.9472101926803589,198,170,0.9926829934120178,177,170,0.9922419786453247,198,212,0.9432951807975769,179,210,0.9425474405288696,196,240,0.6000211834907532,182,240,0.6039109230041504
4,185,92,0.9863668084144592,189,89,0.9633995294570923,181,89,0.953153669834137,195,92,0.8410430550575256,178,92,0.7372148633003235,204,116,0.9946900606155396,171,116,0.993034839630127,210,146,0.9735524654388428,164,145,0.9646618962287903,205,172,0.9539235234260559,167,172,0.9448739290237427,198,171,0.9919905066490173,177,171,0.991329550743103,198,213,0.9358853697776794,180,212,0.9336272478103638,196,240,0.5620875358581543,183,240,0.5624663233757019
5,184,92,0.9862447381019592,188,89,0.9643937349319458,181,89,0.9505845308303833,195,92,0.8508375883102417,178,92,0.7197676301002502,204,116,0.9950295090675354,171,117,0.992816686630249,209,146,0.9756743311882019,165,146,0.9636054039001465,204,173,0.9565346240997314,167,172,0.9433043003082275,198,171,0.9926608800888062,177,171,0.9917033314704895,198,213,0.9410737156867981,180,212,0.9366983771324158,196,240,0.5805628895759583,182,240,0.575262188911438
6,184,92,0.9861934781074524,188,89,0.962689995765686,181,89,0.9519763588905334,195,92,0.8416829705238342,178,92,0.7345285415649414,204,116,0.9949308037757874,171,117,0.9932664632797241,210,145,0.9747706055641174,165,146,0.9659596681594849,205,172,0.9556209444999695,167,172,0.9462870955467224,198,170,0.9928661584854126,177,170,0.9922370314598083,198,212,0.9453790187835693,180,211,0.9432629346847534,196,240,0.6079127192497253,183,240,0.6083455085754395
7,184,92,0.9860051274299622,188,88,0.9632644653320312,181,88,0.9497537612915039,195,92,0.8468456864356995,178,92,0.7217549681663513,204,116,0.9950815439224243,171,116,0.9929596781730652,210,145,0.9761768579483032,164,145,0.9643951654434204,205,172,0.9576935172080994,167,171,0.9447588324546814,198,170,0.9930481910705566,177,170,0.9921385645866394,198,212,0.9458391666412354,179,211,0.9416112303733826,196,240,0.604857861995697,182,240,0.5992071032524109
8,184,92,0.9864000082015991,188,89,0.9639784693717957,181,89,0.9511828422546387,195,92,0.8467159271240234,178,92,0.7244659066200256,204,116,0.9951169490814209,171,116,0.9930675029754639,209,145,0.9762135744094849,165,145,0.9650000929832458,205,172,0.9577651619911194,167,171,0.9455176591873169,198,171,0.993137776851654,177,171,0.9922876358032227,197,213,0.9460532665252686,179,211,0.9421367049217224,196,240,0.6046204566955566,182,240,0.5997263789176941
9,185,92,0.9869266152381897,189,89,0.9628328680992126,182,89,0.9564958214759827,195,92,0.8326480984687805,178,92,0.7550315856933594,204,116,0.9948222637176514,171,116,0.9938344955444336,209,145,0.9737582802772522,165,146,0.9691897034645081,205,172,0.954342782497406,167,172,0.9502601027488708,198,170,0.9931424856185913,177,170,0.992916464805603,198,212,0.9479380249977112,180,211,0.9485475420951843,195,240,0.622835636138916,182,240,0.6306068301200867
10,184,92,0.9860679507255554,188,88,0.9637713432312012,181,88,0.9497298002243042,195,92,0.847552478313446,178,92,0.7168835997581482,204,116,0.9949628114700317,171,116,0.9925803542137146,209,145,0.9759132862091064,165,145,0.9626563787460327,205,172,0.957480788230896,167,171,0.9428544640541077,198,170,0.9924753308296204,177,170,0.9913621544837952,198,212,0.9408050179481506,180,211,0.9353876709938049,196,240,0.5810684561729431,183,240,0.5726110935211182
